iter	RMSE
0	143761.2857
1	110103.1323
2	82440.32562
3	63639.41133
4	52097.8607
5	42801.1035
6	36400.81743
7	31661.83427
8	28816.28877
9	26885.85714
10	25056.97771
11	23646.32886
12	22487.51602
13	21705.42834
14	21006.91733
15	20306.52547
16	19652.43073
17	19079.64973
18	18609.75851
19	18167.65488
20	17676.2513
21	17129.60801
22	17013.93825
23	16753.15131
24	16515.71221
25	16253.18161
26	15816.95768
27	15415.34292
28	15028.58052
29	14663.21036
30	14277.5546
31	13836.90667
32	13430.8489
33	13163.62338
34	13011.31327
35	12713.61118
36	12379.93077
37	12155.24142
38	11940.08466
39	11687.64427
40	11596.9887
41	11325.40011
42	11036.70957
43	10726.68464
44	10437.70242
45	10066.19845
46	9700.8072
47	9471.664521
48	9342.722365
49	9236.559997
50	8987.040988
51	8960.775896
52	8781.353182
53	8650.716522
54	8484.127026
55	8466.138985
56	8457.995623
57	8262.343406
58	7994.888819
59	7937.4377
60	7794.903316
61	7762.13443
62	7754.059473
63	7510.900073
64	7400.818473
65	7288.263865
66	7241.035889
67	7102.857592
68	7004.566141
69	6916.90329
70	6857.059247
71	6818.33486
72	6678.181969
73	6641.440454
74	6570.145815
75	6557.03496
76	6543.699776
77	6415.645435
78	6217.649089
79	6116.842506
80	6010.069214
81	5970.233544
82	5862.014854
83	5834.177066
84	5744.764844
85	5613.860205
86	5550.961502
87	5488.730617
88	5377.019846
89	5304.059117
90	5163.782393
91	5105.572353
92	5058.489634
93	5020.942386
94	4938.948432
95	4870.170625
96	4813.153235
97	4792.562222
98	4786.90697
99	4777.799749
