iter	Passed	Remaining
0	12	1254
1	22	1089
2	31	1012
3	40	972
4	49	943
5	59	930
6	69	925
7	81	940
8	98	993
9	122	1105
10	127	1028
11	138	1016
12	147	984
13	156	964
14	172	979
15	184	968
16	198	967
17	202	923
18	215	918
19	228	915
20	240	903
21	253	897
22	262	879
23	271	860
24	280	842
25	290	827
26	299	809
27	307	791
28	316	774
29	325	759
30	332	740
31	342	727
32	351	713
33	360	699
34	370	688
35	379	673
36	389	663
37	400	652
38	409	641
39	418	627
40	427	615
41	436	602
42	445	590
43	454	578
44	463	566
45	471	553
46	480	542
47	490	530
48	500	521
49	511	511
50	521	500
51	527	487
52	537	476
53	544	463
54	554	453
55	565	444
56	576	435
57	587	425
58	599	416
59	610	406
60	621	397
61	629	385
62	639	375
63	648	364
64	658	354
65	669	344
66	680	335
67	691	325
68	705	316
69	733	314
70	750	306
71	764	297
72	776	287
73	787	276
74	795	265
75	803	253
76	813	242
77	822	231
78	830	220
79	842	210
80	851	199
81	860	188
82	872	178
83	884	168
84	895	157
85	904	147
86	913	136
87	922	125
88	937	115
89	953	105
90	967	95
91	980	85
92	992	74
93	1002	63
94	1011	53
95	1019	42
96	1030	31
97	1039	21
98	1050	10
99	1060	0
