iter	RMSE
0	59680.06018
1	49594.69989
2	42347.05268
3	36561.55051
4	32848.91806
5	30017.61421
6	28092.11967
7	26592.53957
8	25219.15366
9	24184.63441
10	23450.17128
11	22804.0974
12	22100.17608
13	21653.55586
14	21333.88816
15	21028.30345
16	20719.17431
17	20396.09392
18	20040.89218
19	19810.86164
20	19579.83
21	19332.84372
22	19176.65808
23	19033.43295
24	18779.96161
25	18673.1868
26	18597.19907
27	18458.1894
28	18334.27846
29	18185.01968
30	18072.43979
31	17934.99116
32	17814.33156
33	17719.61435
34	17634.64733
35	17484.98105
36	17380.36034
37	17182.73002
38	17022.30472
39	16974.16939
40	16847.34085
41	16803.95363
42	16724.9541
43	16591.69861
44	16489.37568
45	16411.9914
46	16357.73916
47	16254.30232
48	16216.39859
49	16178.63135
50	16070.2995
51	15943.4262
52	15843.99979
53	15762.51603
54	15730.52567
55	15680.6644
56	15659.58882
57	15540.96272
58	15432.49485
59	15346.91882
60	15266.89421
61	15167.18405
62	15135.86827
63	15109.28636
64	15059.89765
65	15023.90009
66	14939.08356
67	14857.79996
68	14836.82009
69	14728.94725
70	14642.31711
71	14571.92058
72	14437.65467
73	14354.52637
74	14328.50724
75	14263.67804
76	14218.09297
77	14087.25521
78	13982.3502
79	13903.29516
80	13877.83402
81	13816.57826
82	13794.80677
83	13741.36559
84	13672.11287
85	13582.90901
86	13486.18536
87	13465.47169
88	13446.73516
89	13402.2091
90	13312.35011
91	13261.25067
92	13243.54551
93	13217.48024
94	13146.65233
95	13105.5794
96	13091.83705
97	13017.10787
98	12969.70021
99	12964.59729
