iter	Passed	Remaining
0	5	499
1	7	361
2	9	313
3	12	296
4	14	273
5	17	273
6	19	255
7	20	241
8	22	228
9	25	229
10	27	224
11	29	217
12	31	210
13	34	210
14	35	203
15	37	197
16	39	192
17	41	187
18	42	182
19	45	181
20	48	180
21	49	176
22	51	172
23	53	169
24	55	165
25	57	163
26	59	160
27	62	160
28	64	158
29	67	157
30	69	154
31	71	151
32	72	147
33	75	145
34	77	143
35	79	141
36	81	138
37	83	135
38	84	132
39	87	130
40	89	128
41	90	125
42	92	122
43	95	121
44	97	118
45	98	115
46	100	113
47	102	110
48	104	108
49	105	105
50	108	103
51	110	101
52	112	99
53	113	96
54	116	95
55	118	93
56	120	90
57	122	88
58	124	86
59	126	84
60	128	82
61	130	80
62	132	77
63	134	75
64	136	73
65	137	71
66	139	68
67	141	66
68	143	64
69	145	62
70	146	59
71	148	57
72	150	55
73	151	53
74	153	51
75	155	49
76	157	46
77	158	44
78	160	42
79	162	40
80	163	38
81	165	36
82	167	34
83	169	32
84	171	30
85	173	28
86	175	26
87	177	24
88	179	22
89	181	20
90	183	18
91	184	16
92	187	14
93	189	12
94	191	10
95	193	8
96	195	6
97	197	4
98	200	2
99	202	0
